,Date,EUR.USD.Close,EUR.USD.High,EUR.USD.Low,USD.JPY.Close,USD.JPY.High,USD.JPY.Low,USD.CHF.Close,USD.CHF.High,USD.CHF.Low,GBP.USD.Close,GBP.USD.High,GBP.USD.Low,USD.CAD.Close,USD.CAD.High,USD.CAD.Low,EUR.GBP.Close,EUR.GBP.High,EUR.GBP.Low,EUR.JPY.Close,EUR.JPY.High,EUR.JPY.Low,EUR.CHF.Close,EUR.CHF.High,EUR.CHF.Low,AUD.USD.Close,AUD.USD.High,AUD.USD.Low,GBP.JPY.Close,GBP.JPY.High,GBP.JPY.Low,CHF.JPY.Close,CHF.JPY.High,CHF.JPY.Low,GBP.CHF.Close,GBP.CHF.High,GBP.CHF.Low,NZD.USD.Close,NZD.USD.High,NZD.USD.Low,GBP.AUD.Close,GBP.AUD.High,GBP.AUD.Low,EUR.AUD.Close,EUR.AUD.High,EUR.AUD.Low,market
22,2/1/2016,1.08929,1.09127,1.0815,121.11,121.485,120.681,1.01929,1.02495,1.0156,1.44361,1.44447,1.42292,1.39227,1.40619,1.39137,0.75452,0.76231,0.75414,131.93,132.022,131.23,1.1102,1.1116,1.10674,0.7104,0.71061,0.70432,174.85,175.018,172.435,118.8,119.063,118.37,1.4714,1.47258,1.45526,0.65297,0.65297,0.64495,1.5999,1.611,1.5888,0.6922,0.6997,0.6906,4620.370117
23,2/2/2016,1.09177,1.094,1.08857,119.963,121.035,119.842,1.019,1.0226,1.01709,1.4416,1.44458,1.43267,1.40187,1.40818,1.39403,0.75724,0.76163,0.7543,130.971,131.98,130.9,1.1124,1.11591,1.11006,0.7049,0.7129,0.70389,172.951,174.678,172.759,117.7,118.7,117.61,1.4687,1.47556,1.46097,0.6477,0.6554,0.64624,1.609,1.6113,1.5962,0.693,0.6956,0.6891,4516.950195
24,2/3/2016,1.1105,1.11454,1.09039,117.781,120.044,117.057,1.00472,1.01935,0.99886,1.4597,1.46488,1.43846,1.37912,1.41025,1.37786,0.7606,0.7615,0.7526,130.792,131.03,130.052,1.11567,1.11606,1.10993,0.7173,0.71891,0.70033,171.9,173.748,171.072,117.203,117.82,116.85,1.4662,1.47668,1.46169,0.6671,0.66973,0.65078,1.6033,1.6117,1.5977,0.6917,0.6981,0.6898,4504.240234
25,2/4/2016,1.12,1.12392,1.10698,116.758,118.238,116.531,0.99338,1.0074,0.99227,1.4575,1.4668,1.453,1.37417,1.37967,1.36399,0.76845,0.77016,0.7555,130.779,131.657,130.647,1.1128,1.11993,1.11155,0.7196,0.7243,0.71539,170.175,172.47,170.048,117.5,117.93,116.95,1.4477,1.47103,1.44689,0.6726,0.67474,0.66425,1.6023,1.6123,1.5962,0.6966,0.7019,0.6944,4509.560059
26,2/5/2016,1.11452,1.12504,1.11091,116.979,117.428,116.295,0.9921,0.99848,0.9885,1.4497,1.4591,1.44527,1.3894,1.39005,1.37101,0.76866,0.7717,0.7669,130.39,131.04,130.167,1.1058,1.1135,1.10349,0.7069,0.7219,0.7065,169.595,170.539,168.996,117.87,118.04,117.3,1.4383,1.44902,1.4345,0.6626,0.67523,0.66162,1.6008,1.6023,1.578,0.7012,0.708,0.6992,4363.140137
27,2/8/2016,1.12042,1.12158,1.10867,115.511,117.523,115.184,0.98532,0.99728,0.98419,1.4431,1.45467,1.43519,1.3928,1.39781,1.38411,0.77631,0.7767,0.7661,129.418,130.901,128.766,1.1043,1.10951,1.10195,0.7084,0.71284,0.70509,166.67,170.629,165.981,117.17,118.25,116.68,1.4221,1.44485,1.4208,0.6621,0.666,0.6593,1.5939,1.6108,1.5837,0.7023,0.7037,0.6977,4283.75
28,2/9/2016,1.1287,1.13378,1.11626,115.06,115.85,114.211,0.9723,0.98741,0.96952,1.44549,1.45155,1.43787,1.3877,1.39599,1.37872,0.785,0.78508,0.7731,129.876,130.27,128.281,1.09753,1.10562,1.09587,0.7054,0.70958,0.69738,166.328,167.199,164.57,118.32,118.62,116.127,1.40554,1.42563,1.39896,0.6629,0.66689,0.65637,1.6081,1.6111,1.5989,0.6994,0.7023,0.6972,4268.759766
29,2/10/2016,1.1291,1.13113,1.11607,113.338,115.259,113.253,0.9723,0.98193,0.97113,1.45383,1.45781,1.44454,1.39164,1.39986,1.38207,0.7766,0.7819,0.7713,127.998,130.111,127.8,1.09818,1.1001,1.0952,0.71115,0.7126,0.7037,164.74,167.635,164.53,116.548,118.46,116.41,1.4135,1.42068,1.40474,0.66869,0.66913,0.66055,1.6084,1.6125,1.5947,0.6989,0.7032,0.6966,4283.589844
30,2/11/2016,1.1331,1.13764,1.12745,112.292,113.598,110.983,0.97154,0.97614,0.96617,1.44696,1.45634,1.43828,1.39309,1.40164,1.38837,0.78304,0.78974,0.7756,127.237,128.12,125.77,1.10087,1.10424,1.09497,0.7095,0.71535,0.69845,162.45,165.069,159.846,115.55,116.631,114.45,1.40577,1.41615,1.39268,0.67,0.67345,0.65865,1.6064,1.6087,1.587,0.6978,0.7053,0.6927,4266.839844
31,2/12/2016,1.12542,1.13338,1.12143,113.257,113.538,111.663,0.9764,0.97904,0.97161,1.45087,1.45701,1.44435,1.38549,1.39651,1.38138,0.77559,0.78284,0.77428,127.48,127.66,126.38,1.09894,1.10214,1.09658,0.7099,0.71281,0.70639,164.348,164.775,161.698,115.98,116.26,114.8,1.4168,1.42119,1.40666,0.66207,0.67393,0.66157,1.5913,1.6056,1.587,0.7036,0.7049,0.6966,4337.509766
32,2/15/2016,1.11446,1.125,1.11282,114.616,114.729,113.24,0.9878,0.98895,0.97701,1.4435,1.45352,1.44261,1.3828,1.38816,1.37988,0.77194,0.77597,0.7698,127.737,127.957,127.258,1.10091,1.10316,1.0976,0.7137,0.71716,0.71029,165.43,165.754,164.28,116,116.357,115.62,1.4256,1.42995,1.4166,0.6646,0.66763,0.66155,1.6042,1.6083,1.5908,0.6981,0.6999,0.6924,NA
33,2/16/2016,1.11415,1.1193,1.11245,113.89,114.875,113.599,0.98848,0.98959,0.98478,1.4287,1.45156,1.42766,1.388,1.39114,1.37071,0.7797,0.78122,0.7696,126.893,128.18,126.624,1.1015,1.10325,1.10066,0.7099,0.71817,0.70818,162.711,166.083,162.453,115.19,116.298,115.01,1.4122,1.43168,1.40982,0.6567,0.66754,0.65455,1.5971,1.6072,1.5902,0.6935,0.6961,0.6904,4435.959961
34,2/17/2016,1.11437,1.1179,1.11064,113.808,114.503,113.378,0.99132,0.99416,0.98535,1.42928,1.43389,1.42356,1.37168,1.38988,1.36682,0.77957,0.7845,0.7761,126.81,127.393,126.64,1.1045,1.10613,1.10064,0.71835,0.71869,0.70844,162.663,163.879,161.586,114.78,115.61,114.727,1.4166,1.42344,1.40424,0.6643,0.66492,0.65542,1.5993,1.6223,1.595,0.6946,0.6956,0.6834,4534.060059
35,2/18/2016,1.11023,1.11495,1.10712,113.45,114.322,113.443,0.9937,0.99685,0.99051,1.4327,1.43942,1.42577,1.374,1.37483,1.36544,0.7749,0.78164,0.77078,125.957,127.18,125.883,1.10346,1.10544,1.10228,0.7154,0.7184,0.71332,162.52,163.962,162.236,114.12,115.15,114.12,1.4237,1.43108,1.41279,0.6634,0.6668,0.66063,1.619,1.623,1.6084,0.6846,0.6881,0.6813,4487.540039
36,2/19/2016,1.1126,1.11391,1.10668,112.671,113.377,112.309,0.9903,0.99671,0.98887,1.43586,1.44096,1.42474,1.3768,1.38464,1.37184,0.7748,0.77931,0.7734,125.364,125.98,125.02,1.10196,1.10482,1.09989,0.71529,0.71618,0.70693,161.78,162.505,160.744,113.73,114.16,113.31,1.42204,1.42646,1.41222,0.66418,0.6647,0.65656,1.6145,1.627,1.6049,0.6868,0.6883,0.6807,4504.430176
37,2/22/2016,1.10297,1.1127,1.10034,112.86,113.387,112.431,0.9984,1.0004,0.9894,1.41473,1.4306,1.40581,1.3706,1.37928,1.36626,0.7796,0.78434,0.77695,124.47,125.562,124.37,1.1012,1.10245,1.09935,0.72293,0.72466,0.71363,159.665,161.555,159.149,113,113.994,112.919,1.4126,1.41733,1.40308,0.67089,0.67257,0.6623,1.608,1.6345,1.6033,0.682,0.6837,0.6773,4570.609863
38,2/23/2016,1.10169,1.10526,1.09904,112.12,113.051,111.777,0.99194,1.0001,0.98959,1.4016,1.41556,1.40085,1.37648,1.38207,1.36959,0.78589,0.78645,0.77763,123.525,124.64,123.073,1.0928,1.10282,1.09163,0.72148,0.7259,0.72006,157.167,159.913,156.97,113.017,113.28,112.3,1.3902,1.41515,1.38871,0.66596,0.67145,0.66481,1.6254,1.6399,1.6206,0.6829,0.6834,0.6761,4503.580078
39,2/24/2016,1.10092,1.10462,1.09575,111.962,112.263,111.045,0.98857,0.99523,0.9853,1.39334,1.40277,1.38791,1.36842,1.3859,1.36782,0.7901,0.79249,0.7853,123.258,123.62,122.456,1.0882,1.09428,1.08651,0.721,0.72133,0.71461,156.001,157.314,154.734,113.253,113.27,112.37,1.37705,1.3925,1.3726,0.66699,0.66738,0.65866,1.641,1.6652,1.5582,0.6765,0.6826,0.6759,4542.609863
40,2/25/2016,1.1036,1.10496,1.09868,112.78,113.022,111.901,0.9893,0.99519,0.98783,1.39706,1.39967,1.39007,1.3545,1.3735,1.35177,0.7899,0.79285,0.7879,124.49,124.66,123.284,1.0917,1.09481,1.08899,0.7234,0.72432,0.7157,157.585,157.899,155.795,113.97,114.23,113.07,1.3819,1.38853,1.37576,0.6721,0.67301,0.6643,1.663,1.6802,1.6598,0.6802,0.6809,0.6762,4582.200195
41,2/26/2016,1.0938,1.10681,1.0912,113.847,113.991,112.565,0.99599,0.99885,0.9872,1.3863,1.40425,1.38542,1.35138,1.3564,1.35055,0.7889,0.79225,0.78439,124.52,125.02,124.223,1.0896,1.09412,1.0888,0.713,0.72565,0.71186,157.82,158.551,157.216,114.26,114.46,113.67,1.381,1.39218,1.37932,0.66324,0.67744,0.66185,1.6727,1.6775,1.6639,0.6802,0.6819,0.6771,4590.470215
42,2/29/2016,1.08858,1.09624,1.08595,112.805,113.981,112.667,0.99821,1.00379,0.99492,1.3927,1.39464,1.38364,1.35099,1.35869,1.34824,0.7814,0.78973,0.7791,122.793,124.5,122.459,1.0866,1.09297,1.08103,0.7138,0.71679,0.71091,157.09,158.12,156.219,112.99,114.37,112.51,1.3901,1.39245,1.37999,0.6585,0.664,0.65659,1.67,1.6761,1.6594,0.6802,0.6883,0.6786,4557.950195
43,3/1/2016,1.08709,1.08937,1.08345,113.885,114.182,112.164,0.99658,1.001,0.99639,1.3954,1.40184,1.39047,1.33965,1.35513,1.33868,0.77892,0.7823,0.77578,123.808,124.08,122.061,1.08338,1.08782,1.08236,0.7179,0.7192,0.71097,158.91,159.52,156.222,114.26,114.4,112.38,1.3904,1.40153,1.38862,0.663,0.664,0.65718,1.6736,1.6936,1.6712,0.6845,0.6851,0.6798,4689.600098
44,3/2/2016,1.0866,1.08808,1.08259,113.368,114.555,113.221,0.9964,1.001,0.99563,1.4071,1.40931,1.39147,1.3431,1.34988,1.34079,0.7721,0.78132,0.76917,123.18,124.38,123.097,1.0829,1.0859,1.0821,0.7291,0.73009,0.71657,159.52,160.568,158.755,113.727,114.65,113.68,1.40248,1.40802,1.38893,0.6669,0.66781,0.65947,1.6932,1.7096,1.6895,0.6818,0.6855,0.6779,4703.419922
45,3/3/2016,1.0964,1.09725,1.08539,113.612,114.27,113.3,0.99092,0.9984,0.98927,1.41893,1.41915,1.40333,1.33966,1.34728,1.3372,0.7726,0.775,0.77054,124.575,124.61,123.276,1.08652,1.0866,1.0828,0.7353,0.73737,0.7282,161.223,161.246,159.6,114.63,114.8,113.807,1.40602,1.40756,1.39853,0.6731,0.67557,0.6656,1.6985,1.7016,1.6887,0.6804,0.6873,0.6796,4707.419922
46,3/4/2016,1.09938,1.10432,1.09038,114.06,114.26,113.133,0.9946,0.99879,0.98794,1.42157,1.42484,1.41088,1.332,1.34709,1.33175,0.77324,0.7773,0.772,125.393,125.8,123.944,1.0936,1.09468,1.08519,0.74255,0.74428,0.73402,162.147,162.44,160.442,114.64,115.05,114.1,1.4139,1.41474,1.40094,0.68005,0.68189,0.67155,1.6924,1.7015,1.6905,0.6859,0.6871,0.6816,4717.02002
47,3/7/2016,1.1009,1.1026,1.09403,113.32,114.045,113.227,0.99518,1.0014,0.99292,1.4265,1.42834,1.41346,1.3276,1.33775,1.32623,0.77167,0.775,0.7713,124.77,125.39,124.23,1.0956,1.09749,1.0916,0.7469,0.74857,0.73929,161.66,162.228,160.386,113.85,114.79,113.36,1.4196,1.42169,1.41075,0.6778,0.6815,0.67506,1.6985,1.7023,1.6859,0.6836,0.6848,0.6766,4708.25
48,3/8/2016,1.10069,1.10576,1.09937,112.565,113.52,112.426,0.99585,0.99703,0.99019,1.42132,1.42756,1.4174,1.34093,1.34115,1.32821,0.77419,0.77927,0.7716,123.89,125.02,123.856,1.0961,1.09693,1.0918,0.7438,0.74722,0.74105,159.988,161.91,159.613,113.022,114.04,112.95,1.41538,1.4203,1.4064,0.67423,0.68017,0.674,1.6991,1.7068,1.6915,0.6785,0.68,0.6761,4648.819824
49,3/9/2016,1.10064,1.1035,1.09464,113.287,113.445,112.229,0.9967,1.00398,0.99402,1.4216,1.4241,1.41778,1.32582,1.34462,1.3229,0.7741,0.77561,0.77,124.688,124.89,123.066,1.0971,1.10002,1.09475,0.74882,0.75278,0.74126,161.067,161.356,159.494,113.63,113.79,111.92,1.417,1.42837,1.4144,0.666,0.68092,0.66511,1.7025,1.7136,1.6933,0.6788,0.6833,0.6769,4674.379883
50,3/10/2016,1.11849,1.12179,1.08224,113.147,114.444,112.613,0.98352,1.00923,0.98106,1.4279,1.43176,1.41183,1.3356,1.33976,1.32326,0.78324,0.78478,0.76527,126.557,126.771,123.65,1.10005,1.10227,1.08923,0.74438,0.75121,0.74274,161.54,162.883,160.739,115.035,115.55,113.15,1.40438,1.42788,1.40207,0.66563,0.67097,0.66198,1.7108,1.7149,1.7018,0.6821,0.6836,0.6794,4662.160156
51,3/11/2016,1.11529,1.12095,1.10807,113.79,113.917,112.759,0.9822,0.98903,0.98033,1.4384,1.44365,1.42547,1.32367,1.33576,1.31679,0.77524,0.78472,0.77386,126.913,127.29,126.076,1.0956,1.1018,1.09353,0.7558,0.75833,0.7447,163.66,164.094,161.088,115.831,116.1,114.537,1.41295,1.41719,1.40357,0.674,0.67735,0.66604,1.7087,1.7226,1.7061,0.6814,0.6825,0.6761,4748.470215
52,3/14/2016,1.1097,1.11757,1.10781,113.805,114.005,113.51,0.9871,0.9882,0.98192,1.43019,1.43894,1.42932,1.3266,1.33081,1.32115,0.77592,0.777,0.7735,126.296,127.153,126.085,1.09546,1.09911,1.0946,0.75052,0.75934,0.74924,162.74,163.981,162.6,115.279,115.94,114.93,1.41173,1.42038,1.41087,0.66644,0.67552,0.66576,1.7187,1.7319,1.7119,0.6776,0.6781,0.6734,4750.279785
53,3/15/2016,1.111,1.1125,1.10723,113.083,114.139,112.639,0.9866,0.98956,0.98498,1.41571,1.4305,1.41393,1.3351,1.34021,1.32635,0.78478,0.78611,0.776,125.6,126.711,125.101,1.0962,1.09714,1.09446,0.7451,0.75275,0.74452,160.08,162.938,159.55,114.58,115.64,114.216,1.3968,1.41248,1.39386,0.66072,0.66842,0.65878,1.7294,1.7401,1.7238,0.6742,0.6773,0.6693,4728.669922
54,3/16/2016,1.12248,1.12423,1.10581,112.61,113.819,112.335,0.9761,0.9914,0.97507,1.42562,1.42736,1.40535,1.31285,1.3405,1.31144,0.78736,0.78854,0.7843,126.39,126.455,125.55,1.09595,1.09755,1.09399,0.7554,0.75606,0.74149,160.552,160.915,159.663,115.36,115.373,114.51,1.39153,1.39766,1.39119,0.6729,0.67404,0.65763,1.7357,1.766,1.7329,0.6714,0.6721,0.6665,4763.970215
55,3/17/2016,1.1316,1.13423,1.12055,111.54,112.955,110.671,0.96704,0.97863,0.96509,1.44821,1.45029,1.42221,1.2986,1.3133,1.29456,0.7812,0.79114,0.7808,126.232,126.63,125.337,1.0945,1.09955,1.09226,0.7645,0.76568,0.7534,161.542,161.575,159.026,115.31,115.47,114.28,1.4004,1.40273,1.38852,0.6854,0.68589,0.67288,1.7616,1.7799,1.756,0.6683,0.669,0.662,4774.990234
56,3/18/2016,1.12681,1.1337,1.12565,111.714,111.757,110.825,0.96968,0.9717,0.96557,1.44736,1.45144,1.44108,1.30242,1.30426,1.29241,0.77839,0.787,0.7775,125.88,126.22,125.273,1.09276,1.0948,1.09055,0.7595,0.76802,0.75958,161.698,161.778,160.369,115.19,115.404,114.55,1.40359,1.40563,1.3966,0.6786,0.68737,0.6784,1.7719,1.7735,1.7573,0.664,0.6676,0.6631,4795.649902
57,3/21/2016,1.12494,1.1285,1.12347,111.82,111.93,111.225,0.9692,0.97301,0.96759,1.43851,1.44673,1.43656,1.30765,1.3092,1.3007,0.78196,0.784,0.779,125.803,126.08,125.22,1.0903,1.09435,1.08945,0.7583,0.76264,0.75691,160.87,161.45,160.155,115.35,115.48,114.49,1.3942,1.40289,1.3921,0.6759,0.67984,0.6747,1.7674,1.7734,1.7536,0.6654,0.6738,0.6622,4808.870117
